suite,config,iteration,turn,expected,answer,match,reasoning_tokens,total_tokens,session_reasoning_parts,reasoning_observed,error
memory-chat,baseline,1,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,baseline,1,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,baseline,1,3,BETA,ALPHA,no,0,15647,0,no,
memory-chat,baseline,1,4,ALPHA BETA,ALPHA,no,0,15672,0,no,
memory-chat,baseline,1,5,ALPHA,ALPHA,yes,0,15695,0,no,
memory-chat,baseline,2,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,baseline,2,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,baseline,2,3,BETA,BETA,yes,0,15647,0,no,
memory-chat,baseline,2,4,ALPHA BETA,ALPHA BETA,yes,0,15674,0,no,
memory-chat,baseline,2,5,ALPHA,ALPHA,yes,0,15697,0,no,
memory-chat,baseline,3,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,baseline,3,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,baseline,3,3,BETA,ALPHA,no,0,15647,0,no,
memory-chat,baseline,3,4,ALPHA BETA,ALPHA,no,0,15672,0,no,
memory-chat,baseline,3,5,ALPHA,ALPHA,yes,0,15695,0,no,
memory-chat,candidate,1,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,candidate,1,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,candidate,1,3,BETA,BETA,yes,0,15647,0,no,
memory-chat,candidate,1,4,ALPHA BETA,ALPHA BETA,yes,0,15674,0,no,
memory-chat,candidate,1,5,ALPHA,ALPHA,yes,0,15697,0,no,
memory-chat,candidate,2,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,candidate,2,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,candidate,2,3,BETA,BETA,yes,0,15647,0,no,
memory-chat,candidate,2,4,ALPHA BETA,ALPHA BETA,yes,0,15674,0,no,
memory-chat,candidate,2,5,ALPHA,ALPHA,yes,0,15697,0,no,
memory-chat,candidate,3,1,ALPHA,ALPHA,yes,0,15603,0,no,
memory-chat,candidate,3,2,ALPHA,ALPHA,yes,0,15625,0,no,
memory-chat,candidate,3,3,BETA,BETA,yes,0,15647,0,no,
memory-chat,candidate,3,4,ALPHA BETA,ALPHA BETA,yes,0,15674,0,no,
memory-chat,candidate,3,5,ALPHA,ALPHA,yes,0,15697,0,no,
tool-memory,baseline,1,1,BANANA,BANANA,yes,0,15804,0,no,
tool-memory,baseline,1,2,OK1,OK1,yes,0,15820,0,no,
tool-memory,baseline,1,3,BANANA,BANANA,yes,0,15843,0,no,
tool-memory,baseline,1,4,OK2,OK2,yes,0,15859,0,no,
tool-memory,baseline,1,5,BANANA,BANANA,yes,0,15882,0,no,
tool-memory,baseline,2,1,BANANA,BANANA,yes,0,15796,0,no,
tool-memory,baseline,2,2,OK1,OK1,yes,0,15812,0,no,
tool-memory,baseline,2,3,BANANA,BANANA,yes,0,15835,0,no,
tool-memory,baseline,2,4,OK2,OK2,yes,0,15851,0,no,
tool-memory,baseline,2,5,BANANA,BANANA,yes,0,15874,0,no,
tool-memory,baseline,3,1,BANANA,BANANA,yes,0,15796,0,no,
tool-memory,baseline,3,2,OK1,OK1,yes,0,15812,0,no,
tool-memory,baseline,3,3,BANANA,BANANA,yes,0,15835,0,no,
tool-memory,baseline,3,4,OK2,OK2,yes,0,15851,0,no,
tool-memory,baseline,3,5,BANANA,BANANA,yes,0,15874,0,no,
tool-memory,candidate,1,1,BANANA,BANANA,yes,0,15796,0,no,
tool-memory,candidate,1,2,OK1,OK1,yes,0,15812,0,no,
tool-memory,candidate,1,3,BANANA,BANANA,yes,0,15835,0,no,
tool-memory,candidate,1,4,OK2,OK2,yes,0,15851,0,no,
tool-memory,candidate,1,5,BANANA,BANANA,yes,0,15874,0,no,
tool-memory,candidate,2,1,BANANA,BANANA,yes,0,15796,0,no,
tool-memory,candidate,2,2,OK1,OK1,yes,0,15812,0,no,
tool-memory,candidate,2,3,BANANA,BANANA,yes,0,15835,0,no,
tool-memory,candidate,2,4,OK2,OK2,yes,0,15851,0,no,
tool-memory,candidate,2,5,BANANA,BANANA,yes,0,15874,0,no,
tool-memory,candidate,3,1,BANANA,BANANA,yes,0,15796,0,no,
tool-memory,candidate,3,2,OK1,OK1,yes,0,15812,0,no,
tool-memory,candidate,3,3,BANANA,BANANA,yes,0,15835,0,no,
tool-memory,candidate,3,4,OK2,OK2,yes,0,15851,0,no,
tool-memory,candidate,3,5,BANANA,BANANA,yes,0,15874,0,no,
reasoning-retention,baseline,1,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,baseline,1,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,baseline,1,3,^[A-Z]{4}$,QRXF,yes,0,21893,0,no,
reasoning-retention,baseline,1,4,QRXF,QRXF,yes,0,21932,0,no,
reasoning-retention,baseline,2,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,baseline,2,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,baseline,2,3,^[A-Z]{4}$,QXZF,yes,0,21893,0,no,
reasoning-retention,baseline,2,4,QXZF,QXZF,yes,0,21932,0,no,
reasoning-retention,baseline,3,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,baseline,3,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,baseline,3,3,^[A-Z]{4}$,QRTZ,yes,0,21894,0,no,
